,ids,growth,status,growth_percentage
138,{'BSU33940'},0.20029614542439544,optimal,32.93
171,{'BSU36850'},0.18366022811290886,optimal,30.2
188,{'BSU33930'},0.20029614542439653,optimal,32.93
198,{'BSU33900'},0.4842335078509481,optimal,79.62
278,{'BSU33910'},0.48423350785094926,optimal,79.62
386,{'BSU36800'},0.1836602281129088,optimal,30.2
472,{'BSU22540'},0.42327508214272164,optimal,69.59
520,{'BSU29190'},0.47381851756236854,optimal,77.9
542,{'BSU36810'},0.18366022811290894,optimal,30.2
553,{'BSU14910'},0.4232750821427221,optimal,69.59
576,{'BSU36870'},0.1836602281129083,optimal,30.2
580,{'BSU36860'},0.18366022811290886,optimal,30.2
583,{'BSU14890'},0.4232750821427209,optimal,69.59
621,{'BSU36820'},0.1836602281129088,optimal,30.2
716,{'BSU22560'},0.42327508214272214,optimal,69.59
720,{'BSU14900'},0.42327508214272214,optimal,69.59
731,{'BSU36830'},0.18366022811290994,optimal,30.2
766,{'BSU22550'},0.4232750821427221,optimal,69.59
794,{'BSU36840'},0.18366022811290908,optimal,30.2
807,{'BSU33920'},0.4862947014918297,optimal,79.95
814,{'BSU36880'},0.18366022811290744,optimal,30.2
827,{'BSU14920'},0.42327508214272225,optimal,69.59
